===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,0.00
3.16,3.16
3.28,3.28
3.42,3.42
3.56,3.56
3.68,3.68
3.82,3.82
3.94,3.94
4.05,4.05
4.20,4.20
4.33,4.33
4.44,4.44
4.59,4.59
4.71,4.71
4.86,4.86
4.98,4.98
5.10,5.10
5.22,5.22
5.35,5.35
5.52,5.52
5.62,5.62
5.76,5.76
5.87,5.87
6.02,6.02
6.14,6.14
6.25,6.25
6.40,6.40
6.53,6.53
6.67,6.67
6.78,6.78
6.91,6.91
7.03,7.03
7.16,7.16
7.30,7.30
7.46,7.46
7.55,7.55
7.68,7.68
7.84,7.84
7.96,7.96
8.10,8.10
8.21,8.21
8.33,8.33
8.46,8.46
8.61,8.61
8.72,8.72
8.87,8.87
8.99,8.99
9.12,9.12
9.23,9.23
9.37,9.37
9.52,9.52
9.63,9.63
9.77,9.77
9.90,9.90
10.03,10.03
10.17,10.17
10.28,10.28
10.42,10.42
10.54,10.54
10.66,10.66
10.79,10.79
10.94,10.94
11.05,11.05
11.20,11.20
11.31,11.31
11.46,11.46
11.59,11.59
11.71,11.71
11.84,11.84
11.98,11.98
12.14,12.14
12.36,12.36
12.54,12.54
12.63,12.63
12.71,12.71
12.75,12.75
12.86,12.86
13.01,13.01
13.13,13.13
13.25,13.25
13.38,13.38
13.54,13.54
13.63,13.63
13.76,13.76
13.90,13.90
14.03,14.03
14.15,14.15
14.30,14.30
14.41,14.41
14.57,14.57
14.68,14.68
14.83,14.83
14.96,14.96
15.07,15.07
15.19,15.19
15.34,15.34
15.46,15.46
15.57,15.57
15.72,15.72
15.84,15.84
15.99,15.99
16.11,16.11
16.24,16.24
16.36,16.36
16.49,16.49
16.63,16.63
16.75,16.75
16.89,16.89
17.01,17.01
17.15,17.15
17.26,17.26
17.39,17.39
17.54,17.54
17.67,17.67
17.80,17.80
17.93,17.93
18.04,18.04
18.19,18.19
18.32,18.32
18.45,18.45
18.58,18.58
18.70,18.70
18.83,18.83
18.97,18.97
19.10,19.10
19.22,19.22
19.33,19.33
19.46,19.46
19.59,19.59
19.72,19.72
19.87,19.87
20.00,20.00
20.12,20.12
20.27,20.27
20.39,20.39
20.52,20.52
20.63,20.63
20.78,20.78
20.91,20.91
21.04,21.04
21.16,21.16
21.30,21.30
21.43,21.43
21.56,21.56
21.67,21.67
21.83,21.83
21.94,21.94
22.05,22.05
22.18,22.18
22.31,22.31
22.46,22.46
22.59,22.59
22.70,22.70
22.83,22.83
22.98,22.98
23.09,23.09
23.22,23.22
23.34,23.34
23.50,23.50
23.60,23.60
23.75,23.75
23.87,23.87
24.02,24.02
24.15,24.15
24.27,24.27
24.40,24.40
24.53,24.53
24.66,24.66
24.78,24.78
24.90,24.90
25.04,25.04
25.16,25.16
25.31,25.31
25.44,25.44
25.57,25.57
25.70,25.70
25.82,25.82
25.93,25.93
26.07,26.07
26.19,26.19
26.33,26.33
26.47,26.47
26.58,26.58
26.71,26.71
26.84,26.84
26.97,26.97
27.13,27.13
27.23,27.23
27.38,27.38
27.50,27.50
27.62,27.62
27.77,27.77
27.88,27.88
28.03,28.03
28.15,28.15
28.29,28.29
28.42,28.42
28.53,28.53
28.65,28.65
28.78,28.78
28.93,28.93
29.06,29.06
29.20,29.20
29.33,29.33
29.45,29.45
29.56,29.56
29.71,29.71
29.84,29.84
29.95,29.95
