Date/Time: 2018-04-25-18-19-06
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.14, 0.47, 3.54
0.39, 0.47, 3.54
0.64, 0.47, 3.54
0.90, 0.47, 3.54
1.16, 0.47, 3.54
1.41, 0.47, 3.54
1.66, 0.47, 3.54
1.92, 0.47, 3.54
2.17, 0.47, 3.54
2.43, 0.47, 3.54
2.69, 0.47, 3.54
2.95, 0.47, 3.54
3.21, 0.47, 3.54
3.46, 0.47, 3.54
3.71, 0.47, 3.54
3.97, 0.47, 3.54
4.23, 0.47, 3.54
4.48, 0.47, 3.54
4.74, 0.47, 3.54
5.00, 0.47, 3.54
5.25, 0.47, 3.54
5.50, 0.47, 3.54
5.76, 0.47, 3.54
6.02, 0.47, 3.54
6.28, 0.47, 3.54
6.54, 0.47, 3.54
6.79, 0.47, 3.54
7.05, 0.47, 3.54
7.30, 0.47, 3.54
7.56, 0.47, 3.54
7.82, 0.47, 3.54
8.08, 0.47, 3.54
8.34, 0.47, 3.54
8.59, 0.47, 3.54
8.85, 0.47, 3.54
9.11, 0.47, 3.54
9.37, 0.47, 3.54
9.63, 0.47, 3.54
9.88, 0.47, 3.54
10.13, 0.47, 3.54
10.38, 0.47, 3.54
10.63, 0.47, 3.54
10.89, 0.47, 3.54
11.14, 0.47, 3.54
11.39, 0.47, 3.54
11.64, 0.47, 3.54
11.89, 0.47, 3.54
12.14, 0.47, 3.54
12.39, 0.47, 3.54
12.65, 0.47, 3.54
12.90, 0.47, 3.54
13.15, 0.47, 3.54
13.41, 0.47, 3.54
13.66, 0.47, 3.54
13.92, 0.47, 3.54
14.18, 0.47, 3.54
14.44, 0.47, 3.54
14.70, 0.47, 3.54
14.95, 0.47, 3.54
15.20, 0.47, 3.54
15.45, 0.47, 3.54
15.70, 0.47, 3.54
15.95, 0.47, 3.54
16.21, 0.47, 3.54
16.46, 0.47, 3.54
16.72, 0.47, 3.54
16.97, 0.47, 3.54
17.22, 0.47, 3.54
17.47, 0.47, 3.54
17.72, 0.47, 3.54
17.97, 0.47, 3.54
18.23, 0.47, 3.54
18.49, 0.47, 3.54
18.74, 0.47, 3.54
18.99, 0.53, 3.95
19.25, 0.58, 4.32
19.51, 0.47, 3.54
