Date/Time: 2018-04-25-15-30-33
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
0.12, 0.47, 3.54
0.22, 0.47, 3.54
0.33, 0.47, 3.54
0.44, 0.47, 3.54
0.54, 0.47, 3.54
0.64, 0.47, 3.54
0.75, 0.47, 3.54
0.86, 0.47, 3.54
0.97, 0.47, 3.54
1.08, 0.47, 3.54
1.18, 0.47, 3.54
1.29, 0.47, 3.54
1.40, 0.47, 3.54
1.50, 0.47, 3.54
1.60, 0.47, 3.54
1.71, 0.47, 3.54
1.81, 0.47, 3.54
1.91, 0.47, 3.54
2.02, 0.47, 3.54
2.12, 0.47, 3.54
2.23, 0.47, 3.54
2.33, 0.47, 3.54
2.44, 0.47, 3.54
2.54, 0.47, 3.54
2.64, 0.47, 3.54
2.75, 0.47, 3.54
2.86, 0.47, 3.54
2.96, 0.47, 3.54
3.07, 0.47, 3.54
3.17, 0.47, 3.54
3.27, 0.47, 3.54
3.38, 0.47, 3.54
3.48, 0.47, 3.54
3.59, 0.47, 3.54
3.69, 0.47, 3.54
3.80, 0.47, 3.54
3.90, 0.47, 3.54
4.00, 0.47, 3.54
4.11, 0.47, 3.54
4.21, 0.47, 3.54
4.32, 0.47, 3.54
4.42, 0.47, 3.54
4.52, 0.47, 3.54
4.63, 0.47, 3.54
4.73, 0.48, 3.57
4.84, 0.61, 4.59
4.95, 0.66, 4.94
5.06, 0.64, 4.83
5.17, 0.64, 4.78
5.27, 0.75, 5.60
5.38, 0.90, 6.72
5.49, 0.89, 6.67
5.60, 0.94, 7.03
5.70, 1.13, 8.45
5.80, 1.80, 13.52
5.91, 2.14, 16.09
6.02, 2.52, 18.91
6.12, 2.80, 21.00
6.23, 3.00, 22.48
6.34, 3.33, 24.97
6.45, 3.52, 26.37
6.55, 3.40, 25.54
6.65, 4.17, 31.27
6.76, 4.80, 36.01
6.87, 4.92, 36.92
6.98, 5.03, 37.71
7.09, 6.16, 46.20
7.19, 6.40, 48.04
7.30, 6.36, 47.73
7.40, 6.74, 50.53
7.51, 7.78, 58.34
7.63, 7.71, 57.84
7.73, 7.54, 56.56
7.84, 7.47, 56.08
7.95, 7.41, 55.56
8.05, 7.31, 54.82
8.16, 7.29, 54.72
8.26, 7.27, 54.55
8.37, 8.21, 61.60
8.48, 8.70, 65.24
8.58, 8.62, 64.66
8.69, 8.48, 63.60
8.79, 8.46, 63.46
8.90, 8.40, 63.04
9.00, 8.35, 62.64
9.11, 8.37, 62.77
9.22, 9.10, 68.30
9.33, 9.32, 69.95
9.44, 9.34, 70.05
9.54, 9.26, 69.49
9.64, 9.21, 69.13
9.75, 9.15, 68.66
9.86, 9.25, 69.40
9.97, 10.33, 77.49
10.08, 10.57, 79.29
10.19, 10.53, 79.01
10.29, 10.43, 78.25
10.39, 10.34, 77.57
10.50, 10.28, 77.10
10.61, 10.22, 76.66
10.72, 10.18, 76.38
10.83, 10.32, 77.42
10.93, 11.08, 83.13
11.04, 11.37, 85.27
11.15, 11.28, 84.63
11.25, 11.16, 83.70
11.35, 11.10, 83.31
11.46, 11.01, 82.61
11.56, 10.95, 82.17
11.67, 10.90, 81.79
11.78, 10.86, 81.51
11.88, 10.81, 81.13
11.99, 10.77, 80.79
12.10, 10.88, 81.59
12.21, 11.73, 87.97
12.32, 12.04, 90.36
12.42, 12.00, 90.02
12.53, 11.91, 89.37
12.64, 11.85, 88.90
12.75, 11.78, 88.36
12.85, 11.73, 87.97
12.96, 11.69, 87.67
13.07, 11.67, 87.53
13.17, 11.64, 87.34
13.27, 11.64, 87.31
13.38, 12.43, 93.26
13.48, 12.81, 96.09
13.59, 12.80, 96.06
13.70, 12.73, 95.53
13.81, 12.68, 95.13
13.91, 12.63, 94.74
14.02, 12.56, 94.25
14.13, 12.55, 94.17
14.23, 13.38, 100.35
14.34, 13.46, 100.99
14.45, 13.41, 100.61
14.56, 13.36, 100.22
14.66, 13.31, 99.89
14.77, 13.25, 99.42
14.88, 13.21, 99.07
14.99, 13.18, 98.90
15.10, 13.11, 98.39
15.20, 13.18, 98.85
15.30, 13.91, 104.35
15.42, 14.17, 106.28
15.52, 14.08, 105.64
15.63, 14.00, 105.07
15.74, 13.96, 104.71
15.85, 13.89, 104.22
15.95, 13.84, 103.84
16.05, 13.79, 103.45
16.16, 13.73, 103.02
16.27, 13.69, 102.71
16.37, 13.62, 102.19
16.47, 13.60, 102.03
16.58, 13.57, 101.81
16.68, 13.55, 101.65
16.79, 13.51, 101.34
16.89, 13.47, 101.09
16.99, 13.45, 100.93
17.10, 13.42, 100.66
17.21, 13.39, 100.49
17.32, 13.36, 100.27
17.42, 13.35, 100.17
17.53, 13.32, 99.94
17.64, 13.30, 99.78
17.74, 13.26, 99.45
17.85, 13.24, 99.31
17.96, 13.22, 99.18
18.06, 13.21, 99.13
18.16, 13.18, 98.85
18.27, 13.13, 98.54
18.38, 13.12, 98.44
18.49, 13.11, 98.36
18.60, 13.08, 98.16
18.70, 13.08, 98.14
18.81, 13.07, 98.08
18.92, 13.08, 98.14
19.02, 13.06, 98.00
19.13, 13.03, 97.76
19.24, 13.01, 97.57
19.35, 13.00, 97.51
19.45, 12.98, 97.39
19.56, 12.97, 97.32
19.67, 12.94, 97.12
19.77, 12.94, 97.12
19.88, 12.90, 96.80
19.99, 12.88, 96.63
20.09, 12.84, 96.35
20.19, 12.83, 96.27
20.29, 12.83, 96.27
20.40, 12.82, 96.17
20.51, 12.81, 96.08
20.62, 12.78, 95.86
20.73, 12.78, 95.86
20.83, 12.76, 95.75
20.93, 12.73, 95.51
21.04, 12.71, 95.35
21.15, 12.71, 95.32
21.25, 12.69, 95.18
21.36, 12.65, 94.93
21.47, 12.63, 94.79
21.57, 12.64, 94.87
21.68, 12.63, 94.79
21.79, 12.60, 94.50
21.90, 12.59, 94.42
22.01, 12.55, 94.19
22.12, 12.53, 93.98
22.23, 12.50, 93.81
22.33, 12.50, 93.75
22.43, 12.46, 93.45
22.53, 12.42, 93.15
22.64, 12.43, 93.23
22.75, 12.41, 93.07
22.87, 12.38, 92.90
22.97, 12.38, 92.85
23.08, 12.38, 92.88
23.18, 12.37, 92.82
23.29, 12.34, 92.58
23.39, 12.29, 92.24
23.50, 12.29, 92.19
23.61, 12.24, 91.81
23.72, 12.17, 91.32
23.83, 12.11, 90.82
23.93, 12.03, 90.25
24.04, 12.00, 90.03
24.14, 11.97, 89.78
24.25, 11.89, 89.21
24.36, 11.83, 88.79
24.46, 11.89, 89.18
24.57, 12.45, 93.42
24.68, 13.52, 101.46
24.79, 13.40, 100.55
24.89, 13.27, 99.59
24.99, 13.21, 99.12
25.10, 13.17, 98.83
25.21, 13.11, 98.38
25.31, 13.11, 98.33
25.42, 13.07, 98.06
25.53, 13.02, 97.70
25.64, 13.00, 97.53
25.74, 13.01, 97.57
25.84, 12.98, 97.40
25.95, 14.33, 107.50
26.05, 14.93, 112.05
26.15, 14.83, 111.29
26.25, 14.72, 110.46
26.36, 14.64, 109.83
26.47, 14.55, 109.17
26.57, 14.48, 108.60
26.68, 14.41, 108.10
26.78, 14.36, 107.70
26.89, 14.32, 107.42
27.00, 14.29, 107.18
27.10, 14.26, 106.96
27.21, 14.27, 107.06
27.32, 14.30, 107.29
27.42, 14.29, 107.24
27.53, 14.29, 107.21
27.64, 14.24, 106.82
27.75, 14.20, 106.54
27.85, 14.15, 106.19
27.96, 14.11, 105.89
28.07, 14.09, 105.69
28.17, 14.05, 105.40
28.28, 14.03, 105.28
28.39, 13.89, 104.19
28.50, 13.08, 98.13
28.61, 12.17, 91.32
28.71, 11.22, 84.19
28.82, 10.28, 77.10
28.92, 9.59, 71.92
29.02, 9.07, 68.03
29.13, 8.44, 63.32
29.23, 7.87, 59.04
29.34, 7.41, 55.60
29.44, 6.96, 52.23
29.55, 6.59, 49.45
29.66, 6.32, 47.38
29.76, 5.95, 44.66
29.87, 5.81, 43.57
29.97, 5.57, 41.81
30.08, 5.37, 40.26
30.18, 5.15, 38.64
30.29, 5.03, 37.74
30.40, 4.88, 36.58
30.51, 4.77, 35.82
30.62, 4.68, 35.10
30.72, 4.60, 34.50
30.83, 4.55, 34.11
30.93, 4.50, 33.73
31.04, 4.39, 32.91
31.15, 4.12, 30.94
31.26, 3.95, 29.62
31.37, 3.87, 29.05
31.47, 3.85, 28.86
31.58, 3.88, 29.10
31.69, 3.92, 29.38
31.79, 3.85, 28.86
31.90, 3.67, 27.57
32.00, 3.58, 26.89
32.11, 3.37, 25.25
32.22, 3.27, 24.50
32.32, 3.07, 23.02
32.43, 2.40, 18.04
32.54, 1.57, 11.74
32.65, 0.69, 5.17
32.76, 0.66, 4.99
32.86, 0.67, 5.05
32.96, 0.67, 5.00
33.07, 0.66, 4.99
33.18, 0.66, 4.97
33.28, 0.66, 4.99
33.39, 0.66, 4.99
33.49, 0.66, 4.99
33.60, 0.66, 4.97
33.71, 0.66, 4.94
33.82, 0.66, 4.92
33.92, 0.66, 4.92
34.03, 0.65, 4.89
34.14, 0.65, 4.86
34.24, 0.64, 4.83
34.35, 0.64, 4.81
34.46, 0.64, 4.80
34.56, 0.64, 4.78
34.67, 0.63, 4.75
34.77, 0.63, 4.75
34.88, 0.63, 4.70
34.99, 0.62, 4.69
35.10, 0.62, 4.65
35.20, 0.62, 4.62
35.30, 0.61, 4.61
35.41, 0.61, 4.58
35.52, 0.61, 4.56
35.62, 0.60, 4.53
35.73, 0.60, 4.50
35.83, 0.60, 4.50
35.94, 0.60, 4.47
36.05, 0.60, 4.47
36.16, 0.59, 4.43
36.27, 0.59, 4.40
36.37, 0.58, 4.39
36.48, 0.58, 4.36
36.59, 0.58, 4.34
36.69, 0.58, 4.34
36.80, 0.58, 4.32
36.91, 0.57, 4.29
37.01, 0.57, 4.28
37.12, 0.57, 4.28
37.23, 0.57, 4.26
37.34, 0.57, 4.25
37.44, 0.56, 4.23
37.55, 0.56, 4.23
37.66, 0.56, 4.20
37.77, 0.56, 4.18
37.88, 0.56, 4.17
37.98, 0.55, 4.15
38.09, 0.55, 4.13
38.19, 0.55, 4.13
38.30, 0.55, 4.12
38.41, 0.55, 4.12
38.52, 0.54, 4.09
38.62, 0.54, 4.07
38.73, 0.54, 4.06
38.83, 0.54, 4.07
