Date/Time: 2018-04-26-17-18-34
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.47, 3.54, False
0.44, 0.47, 3.54, False
0.70, 0.47, 3.54, False
0.95, 0.47, 3.54, False
1.21, 1.22, 9.14, False
1.47, 0.59, 4.40, False
1.72, 2.86, 21.43, False
1.98, 1.74, 13.06, False
2.24, 1.48, 11.08, False
2.49, 3.41, 25.60, False
2.75, 3.13, 23.49, False
3.01, 2.14, 16.03, False
3.26, 4.28, 32.12, False
3.52, 4.63, 34.75, False
3.77, 5.74, 43.05, False
4.03, 7.59, 56.91, False
4.29, 8.21, 61.57, False
4.54, 9.78, 73.35, False
4.79, 9.52, 71.45, False
5.04, 10.05, 75.38, False
5.30, 7.96, 59.71, False
5.55, 9.49, 71.19, False
5.81, 8.72, 65.43, False
6.06, 8.82, 66.20, False
6.31, 10.05, 75.38, False
6.57, 12.28, 92.13, True
6.83, 13.61, 102.09, True
7.09, 12.95, 97.13, True
7.35, 14.12, 105.91, True
7.60, 13.76, 103.26, True
7.86, 13.49, 101.21, True
8.12, 13.12, 98.46, True
8.37, 13.00, 97.56, True
8.63, 12.90, 96.80, True
8.89, 12.09, 90.71, True
9.15, 9.33, 70.00, False
9.41, 4.61, 34.56, False
9.66, 3.02, 22.62, False
9.91, 3.09, 23.18, False
10.16, 2.82, 21.16, False
10.42, 2.63, 19.73, False
10.68, 2.51, 18.84, False
10.94, 2.33, 17.49, False
11.19, 2.81, 21.07, False
11.44, 2.77, 20.80, False
11.70, 2.85, 21.41, False
11.96, 3.03, 22.75, False
12.22, 4.50, 33.76, False
12.48, 6.79, 50.94, False
12.74, 6.10, 45.73, False
12.99, 6.26, 46.99, False
13.24, 6.16, 46.19, False
13.50, 6.48, 48.58, False
13.76, 7.54, 56.53, False
14.01, 7.65, 57.41, False
14.27, 9.16, 68.69, False
14.53, 9.05, 67.87, False
14.78, 10.28, 77.10, False
15.03, 10.09, 75.70, False
15.29, 11.43, 85.76, True
15.55, 11.17, 83.81, False
15.81, 12.08, 90.61, True
16.06, 12.39, 92.98, True
16.32, 12.22, 91.72, True
16.57, 12.08, 90.60, True
16.83, 12.00, 90.00, True
17.09, 13.47, 101.07, True
17.34, 13.25, 99.42, True
17.60, 14.27, 107.06, True
17.85, 14.76, 110.76, True
18.11, 14.87, 111.56, True
18.36, 16.61, 124.58, True
18.62, 16.30, 122.32, True
18.87, 18.16, 136.21, True
