Date/Time: 2018-04-25-14-50-41
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.11, 0.47, 3.54
0.37, 0.47, 3.54
0.62, 0.47, 3.54
0.88, 0.47, 3.54
1.14, 0.47, 3.54
1.39, 0.47, 3.54
1.65, 0.47, 3.54
1.90, 0.47, 3.54
2.16, 0.47, 3.54
2.41, 0.47, 3.54
2.66, 0.47, 3.54
2.91, 0.47, 3.54
3.17, 0.47, 3.54
3.43, 0.47, 3.54
3.69, 0.47, 3.54
3.95, 0.47, 3.54
4.21, 0.47, 3.54
4.46, 0.47, 3.54
4.71, 0.47, 3.54
4.97, 0.47, 3.54
5.22, 0.47, 3.54
5.48, 0.47, 3.54
5.73, 0.47, 3.54
5.99, 0.47, 3.54
6.25, 0.47, 3.54
6.50, 0.47, 3.54
6.76, 0.47, 3.54
7.02, 0.47, 3.54
7.28, 0.47, 3.54
7.53, 0.47, 3.54
7.78, 0.47, 3.54
8.03, 0.47, 3.54
8.28, 0.47, 3.54
8.53, 0.47, 3.54
8.79, 0.47, 3.54
9.04, 0.47, 3.54
9.30, 0.47, 3.54
9.55, 0.47, 3.54
9.81, 0.47, 3.54
10.06, 0.47, 3.54
10.31, 0.47, 3.54
