Date/Time: 2018-04-25-18-19-44
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.14, 0.47, 3.54
0.39, 0.47, 3.54
0.65, 0.47, 3.54
0.91, 0.47, 3.54
1.16, 0.47, 3.54
1.42, 0.47, 3.54
1.68, 0.47, 3.54
1.93, 1.78, 13.38
2.19, 1.65, 12.37
2.44, 1.66, 12.47
2.69, 1.68, 12.62
2.95, 1.75, 13.13
3.20, 1.79, 13.43
3.45, 2.28, 17.11
3.71, 2.38, 17.88
3.96, 2.80, 21.02
4.22, 2.88, 21.59
4.48, 3.49, 26.15
4.73, 3.51, 26.36
4.99, 4.21, 31.59
5.24, 4.17, 31.30
5.50, 4.66, 34.94
5.75, 5.16, 38.69
6.00, 5.37, 40.26
6.26, 6.64, 49.81
6.52, 6.44, 48.31
6.77, 8.38, 62.90
7.03, 8.34, 62.56
7.28, 9.70, 72.80
7.53, 9.72, 72.96
7.79, 9.70, 72.79
8.05, 9.53, 71.51
8.30, 9.55, 71.68
8.56, 9.43, 70.79
8.81, 9.23, 69.21
9.07, 9.12, 68.41
9.33, 9.17, 68.77
9.59, 9.03, 67.78
9.84, 9.05, 67.92
10.10, 8.99, 67.48
10.35, 8.96, 67.19
10.61, 8.80, 66.00
10.86, 8.82, 66.19
11.12, 10.05, 75.37
11.37, 10.74, 80.58
11.62, 11.90, 89.31
11.88, 11.82, 88.64
12.13, 10.68, 80.12
12.38, 10.44, 78.35
12.64, 10.36, 77.76
12.89, 10.02, 75.20
13.15, 9.85, 73.92
13.40, 9.71, 72.88
13.65, 9.90, 74.28
13.91, 9.84, 73.79
14.17, 9.89, 74.23
14.42, 10.65, 79.87
14.68, 10.37, 77.79
14.94, 10.46, 78.44
15.19, 10.19, 76.46
15.44, 10.06, 75.46
15.69, 10.00, 75.04
15.95, 9.87, 74.05
16.20, 9.59, 71.92
16.46, 9.12, 68.44
16.71, 8.22, 61.70
16.97, 6.02, 45.16
17.23, 4.57, 34.28
17.48, 1.20, 8.99
17.74, 1.10, 8.23
18.00, 1.05, 7.87
18.25, 0.98, 7.36
18.50, 0.94, 7.05
18.76, 0.90, 6.77
19.01, 0.87, 6.54
19.27, 0.84, 6.32
