Execution Time Stamp,2017-01-26-00-06-45
Scenario,0
Instrument,ophthalmoscope
Data,
0.00,126.10,32,
0.00,-1.77,-1.26,0.08,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.61,14.79,124.79,126.10,33,
0.01,-1.63,-1.17,0.15,0.03,0.25,0.94,0.13,-0.27,-0.19,-1.59,14.76,124.28,126.10,34,
0.02,-1.79,-1.23,0.21,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.74,14.94,124.30,126.10,32,
0.02,-1.50,-1.20,0.13,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.48,14.95,124.14,126.10,33,
0.03,-1.96,-1.24,0.19,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.63,14.83,124.28,126.10,30,
0.03,-1.48,-1.46,0.14,0.03,0.25,0.94,0.13,-0.27,-0.23,-1.65,14.78,124.82,126.10,38,
0.04,-1.59,-1.35,0.03,0.03,0.25,0.94,0.14,-0.27,-0.22,-1.72,14.82,125.20,126.10,29,
0.04,-1.85,-1.10,0.13,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.56,14.98,124.46,126.10,31,
0.05,-1.82,-1.31,0.23,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.48,14.73,123.88,126.10,31,
0.05,-1.54,-1.35,-0.06,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.48,14.93,124.08,126.10,30,
0.06,-1.83,-1.12,0.12,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.51,14.98,124.28,126.10,30,
0.06,-1.87,-1.16,1.82,0.03,0.26,0.94,0.13,-0.28,-0.22,-1.60,15.65,122.87,126.10,38,
0.07,-2.04,-1.28,0.00,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.57,14.89,124.41,126.10,31,
0.07,-1.48,-1.15,0.16,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.67,14.81,123.78,126.10,33,
0.08,-1.82,-1.26,0.11,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.57,14.95,124.09,126.10,34,
0.08,-1.80,-1.29,-0.01,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.67,14.89,124.65,126.10,34,
0.09,-1.59,-1.35,0.20,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.63,14.81,123.85,126.10,31,
0.09,-1.77,-1.36,0.13,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.53,14.91,123.64,126.10,31,
0.10,-1.92,-1.36,0.16,0.03,0.25,0.94,0.13,-0.28,-0.21,-1.50,14.88,123.34,126.10,30,
0.10,-1.80,-1.53,-0.15,0.03,0.25,0.94,0.13,-0.28,-0.21,-1.58,14.81,123.57,126.10,30,
0.11,-1.82,-1.56,0.11,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.61,14.82,124.49,126.10,28,
0.11,-1.72,-1.11,0.07,0.03,0.25,0.94,0.13,-0.27,-0.22,-1.50,14.90,124.49,126.10,33,
0.12,-1.74,-1.26,0.23,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.55,14.95,124.15,126.10,33,
0.12,-2.07,-1.45,0.05,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.56,14.89,123.21,126.10,29,
0.13,-1.61,-1.64,0.18,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.68,14.71,123.61,126.10,36,
0.13,-1.64,-1.38,0.07,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.60,14.84,123.89,126.10,33,
0.14,-1.94,-1.25,0.05,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.53,15.01,124.06,126.10,38,
0.14,-1.74,-1.65,-0.04,0.03,0.25,0.94,0.13,-0.27,-0.21,-1.68,14.86,123.82,126.10,32,
0.15,-1.67,-1.14,0.04,0.03,0.25,0.94,0.13,-0.28,-0.22,-1.64,14.87,123.24,126.10,34,
0.15,-1.69,-1.30,0.31,0.03,0.23,0.94,0.13,-0.27,-0.22,-1.53,14.00,123.74,126.10,34,
0.16,-1.70,-1.40,0.29,0.03,0.25,0.94,0.14,-0.27,-0.21,-1.53,14.86,125.40,126.10,33,
0.16,-1.81,-1.16,0.16,0.03,0.25,0.94,0.14,-0.28,-0.22,-1.68,14.84,124.85,126.10,35,
