===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,Calibrate device for a more accurate feedback.
0.06,OUT,0
0.10,OUT,0
0.13,IN,1
0.16,IN,1
0.18,IN,1
0.20,IN,1
0.23,IN,1
0.25,OUT,0
0.27,IN,1
0.30,IN,1
0.32,IN,1
0.34,IN,1
0.37,IN,1
0.39,IN,1
0.41,IN,1
0.44,IN,1
0.46,IN,1
0.48,IN,1
0.51,IN,1
0.53,IN,1
0.55,IN,1
0.58,IN,1
0.60,IN,1
0.63,IN,1
0.65,IN,1
0.67,IN,1
0.70,IN,1
0.72,OUT,0
0.74,IN,1
0.89,IN,1
1.01,IN,1
1.13,IN,1
1.28,IN,1
1.40,IN,1
1.54,IN,1
1.67,IN,1
1.80,OUT,0
1.93,IN,1
2.04,IN,1
2.17,IN,1
2.33,IN,1
2.44,IN,1
2.56,IN,1
2.68,IN,1
2.83,IN,1
2.96,OUT,0
3.07,IN,1
3.23,IN,1
3.35,IN,1
3.46,OUT,0
3.59,IN,1
3.72,OUT,0
3.86,IN,1
3.99,IN,1
4.13,IN,1
4.24,IN,1
4.37,IN,1
4.50,IN,1
4.62,IN,1
4.75,IN,1
4.91,IN,1
5.03,IN,1
5.14,IN,1
5.27,IN,1
5.42,OUT,0
5.55,IN,1
5.68,IN,1
5.79,IN,1
5.94,IN,1
6.07,IN,1
6.19,IN,1
6.30,IN,1
6.45,IN,1
6.57,IN,1
6.72,IN,1
6.83,OUT,0
6.99,IN,1
7.09,IN,1
7.21,IN,1
7.35,IN,1
7.47,IN,1
7.62,IN,1
7.76,IN,1
7.86,IN,1
7.99,OUT,0
8.13,IN,1
8.25,IN,1
8.39,IN,1
8.50,IN,1
8.65,IN,1
8.77,IN,1
8.91,IN,1
9.03,IN,1
9.17,OUT,0
9.28,IN,1
9.41,IN,1
9.56,IN,1
9.67,IN,1
9.82,IN,1
9.93,OUT,0
10.08,OUT,0
10.19,OUT,0
10.34,IN,1
10.45,IN,1
10.58,OUT,0
10.72,IN,1
10.86,OUT,0
10.97,OUT,0
11.10,IN,1
11.24,IN,1
11.36,IN,1
11.48,IN,1
11.62,IN,1
11.74,IN,1
11.88,OUT,0
12.00,IN,1
12.15,IN,1
12.27,OUT,0
12.41,OUT,0
12.53,OUT,0
12.66,IN,1
12.79,OUT,0
12.93,IN,1
13.05,IN,1
13.19,IN,1
13.31,IN,1
13.44,IN,1
13.57,IN,1
13.70,IN,1
13.82,IN,1
13.95,IN,1
14.09,OUT,0
14.22,IN,1
14.35,OUT,0
14.49,IN,1
14.61,OUT,0
14.72,IN,1
14.85,IN,1
15.00,OUT,0
15.12,OUT,0
15.25,OUT,0
15.38,IN,1
15.51,OUT,0
15.64,IN,1
15.77,IN,1
15.91,IN,1
16.04,OUT,0
16.14,IN,1
16.30,OUT,0
16.43,IN,1
16.53,IN,1
16.69,IN,1
16.81,OUT,0
16.95,IN,1
17.07,OUT,0
17.20,OUT,0
17.33,IN,1
17.46,IN,1
17.58,IN,1
17.70,OUT,0
17.85,OUT,0
17.98,OUT,0
18.11,OUT,0
18.23,IN,1
18.36,IN,1
18.47,IN,1
18.61,OUT,0
18.76,OUT,0
18.89,OUT,0
19.01,OUT,0
19.14,IN,1
19.25,IN,1
19.40,IN,1
19.51,IN,1
19.64,IN,1
19.79,IN,1
19.92,IN,1
20.04,OUT,0
20.18,IN,1
20.31,IN,1
20.42,IN,1
20.57,IN,1
20.69,IN,1
20.82,IN,1
20.95,OUT,0
21.06,IN,1
21.20,OUT,0
21.32,IN,1
21.46,IN,1
21.61,IN,1
21.74,IN,1
21.86,IN,1
21.99,OUT,0
22.10,OUT,0
22.23,IN,1
22.35,IN,1
22.49,IN,1
22.61,OUT,0
22.75,IN,1
22.87,IN,1
23.01,IN,1
23.15,IN,1
23.26,IN,1
23.39,IN,1
23.52,IN,1
23.67,IN,1
23.79,IN,1
23.91,IN,1
24.06,IN,1
24.20,IN,1
24.30,IN,1
24.43,OUT,0
24.55,OUT,0
24.71,OUT,0
24.83,IN,1
24.94,IN,1
25.07,IN,1
25.22,OUT,0
25.34,IN,1
25.46,OUT,0
25.61,IN,1
25.72,OUT,0
25.85,IN,1
25.98,IN,1
26.13,OUT,0
26.24,IN,1
26.39,IN,1
26.51,OUT,0
26.63,OUT,0
26.78,IN,1
26.91,IN,1
27.02,IN,1
27.15,IN,1
27.30,IN,1
27.42,IN,1
27.56,IN,1
27.68,IN,1
27.80,IN,1
27.94,IN,1
28.08,IN,1
28.20,OUT,0
28.31,IN,1
28.46,IN,1
28.58,IN,1
28.70,IN,1
28.85,IN,1
28.97,IN,1
29.09,IN,1
29.24,IN,1
29.35,OUT,0
29.49,IN,1
29.60,IN,1
29.75,IN,1
29.87,IN,1
