===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,Calibrate device for a more accurate feedback.
0.06,IN,1
0.10,IN,1
0.14,IN,1
0.17,IN,1
0.20,IN,1
0.23,IN,1
0.25,IN,1
0.27,IN,1
0.30,IN,1
0.32,IN,1
0.34,IN,1
0.37,IN,1
0.39,IN,1
0.42,IN,1
0.44,IN,1
0.46,IN,1
0.49,IN,1
0.51,IN,1
0.53,IN,1
0.56,IN,1
0.58,IN,1
0.61,IN,1
0.63,IN,1
0.65,IN,1
0.68,IN,1
0.70,IN,1
0.72,IN,1
0.75,IN,1
0.77,IN,1
0.79,IN,1
0.85,IN,1
1.01,IN,1
1.12,IN,1
1.24,IN,1
1.40,IN,1
1.50,IN,1
1.63,IN,1
1.76,IN,1
1.89,IN,1
2.05,IN,1
2.15,IN,1
2.27,IN,1
2.42,IN,1
2.53,IN,1
2.68,IN,1
2.80,IN,1
2.92,IN,1
3.05,IN,1
3.18,IN,1
3.33,IN,1
3.45,IN,1
3.59,IN,1
3.71,IN,1
3.85,IN,1
3.98,IN,1
4.10,IN,1
4.22,IN,1
4.35,IN,1
4.50,IN,1
4.63,IN,1
4.74,IN,1
4.89,IN,1
5.01,IN,1
5.13,IN,1
5.25,IN,1
5.40,IN,1
5.51,IN,1
5.64,IN,1
5.80,IN,1
5.91,IN,1
6.03,IN,1
6.18,IN,1
6.31,IN,1
6.43,IN,1
6.54,IN,1
6.69,IN,1
6.81,IN,1
6.96,IN,1
7.08,IN,1
7.20,IN,1
7.32,IN,1
7.46,IN,1
7.58,IN,1
7.73,IN,1
7.84,IN,1
7.97,IN,1
8.12,IN,1
8.24,IN,1
8.38,IN,1
8.50,IN,1
8.64,IN,1
8.77,IN,1
8.89,IN,1
9.03,IN,1
9.15,IN,1
9.27,IN,1
9.40,IN,1
9.55,IN,1
9.67,IN,1
9.78,IN,1
9.93,IN,1
10.05,IN,1
10.17,IN,1
10.32,IN,1
10.44,IN,1
10.56,IN,1
10.71,IN,1
10.82,IN,1
10.96,IN,1
11.08,IN,1
11.23,IN,1
11.36,IN,1
11.49,IN,1
11.61,IN,1
11.72,IN,1
11.89,IN,1
12.01,IN,1
12.14,IN,1
12.26,IN,1
12.40,IN,1
12.52,IN,1
12.63,IN,1
12.77,IN,1
12.89,IN,1
13.04,IN,1
13.17,IN,1
13.30,IN,1
13.43,IN,1
13.54,IN,1
13.69,IN,1
13.80,IN,1
13.94,IN,1
14.06,IN,1
14.19,IN,1
14.34,IN,1
14.47,IN,1
14.59,IN,1
14.72,IN,1
14.83,IN,1
14.99,IN,1
15.11,IN,1
15.24,IN,1
15.37,IN,1
15.49,IN,1
15.62,IN,1
15.76,IN,1
15.86,IN,1
16.03,IN,1
16.13,IN,1
16.25,IN,1
16.39,IN,1
16.51,IN,1
16.64,IN,1
16.77,IN,1
16.91,IN,1
17.04,IN,1
17.16,IN,1
17.31,IN,1
17.42,IN,1
17.55,IN,1
17.68,IN,1
17.81,IN,1
17.98,IN,1
18.07,IN,1
18.22,IN,1
18.34,IN,1
18.46,IN,1
18.59,IN,1
18.72,IN,1
18.85,IN,1
19.00,IN,1
19.13,IN,1
19.25,IN,1
19.36,IN,1
19.49,IN,1
19.63,IN,1
19.75,IN,1
19.88,IN,1
20.01,IN,1
20.14,IN,1
20.29,IN,1
20.41,IN,1
20.53,IN,1
20.67,IN,1
20.79,IN,1
20.94,IN,1
21.07,IN,1
21.22,IN,1
21.31,IN,1
21.46,IN,1
21.58,IN,1
21.70,IN,1
21.85,IN,1
21.96,IN,1
22.09,IN,1
22.22,IN,1
22.34,IN,1
22.47,IN,1
22.59,IN,1
22.73,IN,1
22.86,IN,1
22.98,IN,1
23.14,IN,1
23.25,IN,1
23.38,IN,1
23.51,IN,1
23.63,IN,1
23.79,IN,1
23.90,IN,1
24.02,IN,1
24.17,IN,1
24.28,IN,1
24.43,IN,1
24.54,IN,1
24.67,IN,1
24.81,IN,1
24.94,IN,1
25.06,IN,1
25.19,IN,1
25.34,IN,1
25.45,IN,1
25.60,IN,1
25.72,IN,1
25.85,IN,1
25.96,IN,1
26.10,IN,1
26.23,IN,1
26.35,IN,1
26.50,IN,1
26.62,IN,1
26.76,IN,1
26.89,IN,1
27.00,IN,1
27.13,IN,1
27.26,IN,1
27.41,IN,1
27.52,IN,1
27.64,IN,1
27.78,IN,1
27.93,IN,1
28.05,IN,1
28.19,IN,1
28.31,IN,1
28.46,IN,1
28.58,IN,1
28.69,IN,1
28.81,IN,1
28.97,IN,1
29.10,IN,1
29.20,IN,1
29.35,IN,1
29.48,IN,1
29.61,IN,1
29.74,IN,1
29.85,IN,1
29.98,IN,1
