Date/Time: 2018-04-25-15-45-14
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.13, 0.47, 3.54
0.38, 0.47, 3.54
0.64, 0.47, 3.54
0.90, 0.47, 3.54
1.15, 0.47, 3.54
1.41, 0.47, 3.54
1.66, 0.47, 3.54
1.91, 0.47, 3.54
2.17, 0.47, 3.54
2.42, 0.47, 3.54
2.67, 0.47, 3.54
2.92, 0.47, 3.54
3.17, 0.47, 3.54
3.43, 0.47, 3.54
3.68, 0.47, 3.54
3.93, 0.47, 3.54
4.19, 0.47, 3.54
4.44, 0.47, 3.54
4.70, 0.47, 3.54
4.95, 0.47, 3.54
5.21, 0.47, 3.54
5.46, 0.47, 3.54
5.72, 0.47, 3.54
5.97, 0.47, 3.54
6.23, 0.47, 3.54
6.48, 0.47, 3.54
