===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,Calibrate device for a more accurate feedback.
0.00,IN,1
0.01,IN,1
0.02,IN,1
0.03,IN,1
0.04,IN,1
0.05,IN,1
0.06,IN,1
0.08,IN,1
0.09,IN,1
0.10,IN,1
0.11,IN,1
0.11,IN,1
0.12,OUT,0
0.12,IN,1
0.13,OUT,0
0.13,OUT,0
0.14,IN,1
0.14,OUT,0
0.15,IN,1
0.15,IN,1
0.16,IN,1
0.16,IN,1
0.16,IN,1
0.20,IN,1
0.33,OUT,0
0.48,IN,1
0.59,IN,1
0.71,IN,1
0.86,IN,1
0.98,IN,1
1.13,IN,1
1.25,IN,1
1.37,IN,1
1.50,IN,1
1.62,IN,1
1.77,IN,1
1.88,IN,1
2.02,OUT,0
2.15,IN,1
2.27,IN,1
2.41,IN,1
2.54,IN,1
2.66,IN,1
2.81,IN,1
2.93,IN,1
3.05,IN,1
3.17,IN,1
3.30,IN,1
3.43,IN,1
3.58,OUT,0
3.69,IN,1
3.85,IN,1
3.96,IN,1
4.10,IN,1
4.21,IN,1
4.36,IN,1
4.48,OUT,0
4.59,IN,1
4.75,IN,1
4.86,IN,1
4.99,IN,1
5.14,IN,1
5.24,OUT,0
5.39,IN,1
5.52,IN,1
5.65,IN,1
5.78,IN,1
5.91,OUT,0
6.04,IN,1
6.17,IN,1
6.27,OUT,0
6.41,IN,1
6.53,IN,1
6.67,IN,1
6.82,OUT,0
6.92,IN,1
7.05,IN,1
7.18,IN,1
7.31,IN,1
7.47,IN,1
7.57,IN,1
7.70,IN,1
7.85,IN,1
7.98,IN,1
8.11,IN,1
8.22,IN,1
8.37,IN,1
8.49,IN,1
8.63,IN,1
8.76,OUT,0
8.90,IN,1
9.02,IN,1
9.14,IN,1
9.27,OUT,0
9.40,OUT,0
9.52,IN,1
9.71,IN,1
9.89,OUT,0
10.02,IN,1
10.22,IN,1
10.23,IN,1
10.30,OUT,0
10.42,IN,1
10.57,IN,1
10.69,IN,1
10.83,IN,1
10.95,OUT,0
11.07,OUT,0
11.19,IN,1
11.33,IN,1
11.46,IN,1
11.58,IN,1
11.73,IN,1
11.85,IN,1
12.00,OUT,0
12.12,OUT,0
12.23,IN,1
12.36,IN,1
12.49,IN,1
12.62,IN,1
12.75,IN,1
12.89,IN,1
13.01,OUT,0
13.15,IN,1
13.28,IN,1
13.39,IN,1
13.54,IN,1
13.67,IN,1
13.78,IN,1
13.91,IN,1
14.04,IN,1
14.17,IN,1
14.30,OUT,0
14.45,OUT,0
14.57,IN,1
14.69,IN,1
14.84,IN,1
14.96,IN,1
15.08,IN,1
15.21,IN,1
15.36,IN,1
15.49,IN,1
15.61,IN,1
15.75,IN,1
15.87,IN,1
15.98,IN,1
16.13,IN,1
16.27,IN,1
16.37,OUT,0
16.50,IN,1
16.63,IN,1
16.78,IN,1
16.89,IN,1
17.02,IN,1
17.16,OUT,0
17.29,IN,1
17.43,OUT,0
17.56,IN,1
17.68,IN,1
17.80,IN,1
17.92,IN,1
18.05,OUT,0
18.20,OUT,0
18.32,OUT,0
18.44,IN,1
18.59,IN,1
18.71,OUT,0
18.83,IN,1
18.98,OUT,0
19.09,OUT,0
19.24,IN,1
19.36,IN,1
19.48,IN,1
19.63,OUT,0
19.75,IN,1
19.86,IN,1
20.02,IN,1
20.13,IN,1
20.27,IN,1
20.38,IN,1
20.54,OUT,0
20.66,IN,1
20.77,IN,1
20.93,IN,1
21.05,IN,1
21.17,IN,1
21.31,OUT,0
21.43,IN,1
21.54,OUT,0
21.70,IN,1
21.81,IN,1
21.96,IN,1
22.08,OUT,0
22.19,IN,1
22.32,IN,1
22.48,IN,1
22.60,IN,1
22.72,OUT,0
22.84,IN,1
22.99,IN,1
23.12,IN,1
23.23,IN,1
23.38,IN,1
23.52,IN,1
23.64,IN,1
23.76,IN,1
23.89,IN,1
24.01,IN,1
24.16,IN,1
24.29,OUT,0
24.41,IN,1
24.52,OUT,0
24.67,IN,1
24.79,IN,1
24.94,OUT,0
25.07,OUT,0
25.19,IN,1
25.31,IN,1
25.43,IN,1
25.58,IN,1
25.69,IN,1
25.84,IN,1
25.97,IN,1
26.10,IN,1
26.21,IN,1
26.36,OUT,0
26.49,OUT,0
26.60,IN,1
26.74,IN,1
26.89,OUT,0
27.00,IN,1
27.11,IN,1
27.26,IN,1
27.37,IN,1
27.52,OUT,0
27.66,IN,1
27.78,OUT,0
27.90,IN,1
28.02,OUT,0
28.14,IN,1
28.28,IN,1
28.40,OUT,0
28.55,IN,1
28.66,IN,1
28.81,IN,1
28.93,IN,1
29.06,IN,1
29.18,OUT,0
29.33,IN,1
29.44,OUT,0
29.59,IN,1
29.72,IN,1
29.83,IN,1
29.98,OUT,0
