Date/Time: 2018-04-24-23-41-51
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.10, 0.47, 3.54
0.35, 0.47, 3.54
0.61, 0.47, 3.54
0.87, 0.47, 3.54
1.12, 0.47, 3.54
1.38, 0.47, 3.54
1.63, 0.47, 3.54
1.89, 0.47, 3.54
2.15, 0.47, 3.54
2.40, 0.47, 3.54
2.67, 0.47, 3.54
2.92, 0.47, 3.54
3.18, 0.47, 3.54
3.43, 0.47, 3.54
3.68, 0.47, 3.54
3.93, 0.47, 3.54
4.19, 0.47, 3.54
4.44, 0.47, 3.54
4.69, 0.47, 3.54
4.94, 0.47, 3.54
5.20, 0.47, 3.54
5.45, 0.47, 3.54
5.71, 0.47, 3.54
5.96, 0.47, 3.54
6.21, 0.47, 3.54
6.47, 0.47, 3.54
6.72, 0.47, 3.54
6.98, 0.47, 3.54
7.23, 0.47, 3.54
7.49, 0.47, 3.54
7.74, 0.47, 3.54
8.00, 0.47, 3.54
8.25, 0.47, 3.54
8.50, 0.47, 3.54
8.76, 0.47, 3.54
9.01, 0.47, 3.54
9.27, 0.47, 3.54
9.52, 0.47, 3.54
9.77, 0.47, 3.54
10.03, 0.47, 3.54
10.28, 0.47, 3.54
10.54, 0.47, 3.54
10.79, 0.47, 3.54
11.04, 0.47, 3.54
11.29, 0.47, 3.54
11.54, 0.47, 3.54
11.79, 0.47, 3.54
12.05, 0.47, 3.54
12.30, 0.47, 3.54
12.55, 0.47, 3.54
12.81, 0.47, 3.54
13.07, 0.47, 3.54
