Date/Time: 2018-04-30-23-32-51
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.48, 3.62, False
0.44, 0.48, 3.60, False
0.70, 0.48, 3.60, False
0.96, 0.48, 3.62, False
1.21, 0.48, 3.62, False
1.47, 0.48, 3.62, False
1.72, 0.48, 3.62, False
1.98, 0.48, 3.63, False
2.24, 0.48, 3.63, False
2.49, 0.48, 3.62, False
2.75, 0.48, 3.63, False
3.00, 0.48, 3.62, False
3.26, 0.48, 3.62, False
3.51, 0.48, 3.62, False
3.77, 0.48, 3.60, False
4.03, 0.48, 3.62, False
4.28, 0.48, 3.62, False
4.54, 0.48, 3.62, False
4.79, 0.48, 3.60, False
5.05, 0.48, 3.62, False
5.30, 0.48, 3.62, False
5.56, 0.48, 3.62, False
5.82, 0.48, 3.63, False
6.07, 0.49, 3.65, False
6.32, 0.48, 3.60, False
6.58, 0.48, 3.62, False
6.83, 0.48, 3.62, False
7.08, 0.48, 3.62, False
7.33, 0.49, 3.65, False
7.59, 0.48, 3.62, False
7.84, 0.49, 3.65, False
8.10, 0.48, 3.62, False
8.35, 0.48, 3.60, False
8.61, 0.48, 3.62, False
8.86, 0.48, 3.62, False
