===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,Calibrate device for a more accurate feedback.
0.00,IN,1
0.01,IN,1
0.03,IN,1
0.04,IN,1
0.05,IN,1
0.06,IN,1
0.07,IN,1
0.08,IN,1
0.09,IN,1
0.10,IN,1
0.11,IN,1
0.12,IN,1
0.13,IN,1
0.13,IN,1
0.14,IN,1
0.14,IN,1
0.15,IN,1
0.15,OUT,0
0.16,IN,1
0.16,IN,1
0.17,IN,1
0.17,IN,1
0.18,IN,1
0.21,IN,1
0.33,IN,1
0.48,IN,1
0.60,IN,1
0.72,OUT,0
0.87,IN,1
1.00,IN,1
1.12,IN,1
1.24,IN,1
1.39,IN,1
1.51,IN,1
1.62,IN,1
1.77,OUT,0
1.89,IN,1
2.04,OUT,0
2.15,IN,1
2.27,IN,1
2.42,IN,1
2.54,IN,1
2.65,IN,1
2.81,IN,1
2.93,IN,1
3.05,IN,1
3.20,IN,1
3.33,IN,1
3.45,IN,1
3.56,IN,1
3.71,IN,1
3.82,OUT,0
3.95,OUT,0
4.11,IN,1
4.23,IN,1
4.34,IN,1
4.47,OUT,0
4.62,IN,1
4.73,IN,1
4.89,IN,1
4.99,IN,1
5.12,IN,1
5.27,IN,1
5.39,IN,1
5.51,IN,1
5.64,OUT,0
5.79,IN,1
5.91,OUT,0
6.03,IN,1
6.18,IN,1
6.30,OUT,0
6.44,IN,1
6.54,IN,1
6.67,IN,1
6.83,IN,1
6.96,IN,1
7.07,OUT,0
7.20,IN,1
7.32,IN,1
7.47,OUT,0
7.60,IN,1
7.71,IN,1
7.86,IN,1
7.99,IN,1
8.12,IN,1
8.24,IN,1
8.35,IN,1
8.50,IN,1
8.61,IN,1
8.76,IN,1
8.89,IN,1
9.01,IN,1
9.14,IN,1
9.26,OUT,0
9.41,OUT,0
9.52,IN,1
9.67,IN,1
9.79,IN,1
9.91,IN,1
10.06,IN,1
10.17,IN,1
10.32,IN,1
10.44,OUT,0
10.56,OUT,0
10.71,IN,1
10.82,IN,1
10.94,IN,1
11.09,OUT,0
11.21,IN,1
11.33,IN,1
11.48,OUT,0
11.62,IN,1
11.74,OUT,0
11.85,IN,1
12.00,IN,1
12.12,IN,1
12.24,IN,1
12.37,IN,1
12.49,IN,1
12.65,IN,1
12.77,IN,1
12.89,IN,1
13.05,IN,1
13.14,IN,1
13.27,IN,1
13.40,IN,1
13.55,IN,1
13.66,IN,1
13.79,IN,1
13.92,IN,1
14.05,IN,1
14.18,IN,1
14.31,IN,1
14.44,IN,1
14.57,IN,1
14.72,IN,1
14.85,IN,1
14.96,IN,1
15.09,IN,1
15.22,IN,1
15.35,IN,1
15.49,IN,1
15.60,IN,1
15.73,IN,1
15.88,IN,1
16.00,IN,1
16.15,IN,1
16.27,IN,1
16.38,IN,1
16.51,IN,1
16.64,IN,1
16.79,IN,1
16.90,IN,1
17.05,IN,1
17.16,IN,1
17.29,IN,1
17.41,IN,1
17.54,IN,1
17.69,IN,1
17.80,IN,1
17.94,IN,1
18.06,IN,1
18.20,IN,1
18.32,IN,1
18.46,IN,1
18.58,IN,1
18.73,IN,1
18.84,IN,1
18.98,IN,1
19.10,OUT,0
19.23,IN,1
19.35,IN,1
19.49,IN,1
19.62,IN,1
19.74,IN,1
19.90,IN,1
20.00,IN,1
20.14,IN,1
20.27,IN,1
20.40,IN,1
20.53,IN,1
20.65,IN,1
20.79,OUT,0
20.92,IN,1
21.04,IN,1
21.16,IN,1
21.67,IN,1
21.80,IN,1
21.82,IN,1
21.83,IN,1
21.85,IN,1
21.94,IN,1
22.09,IN,1
22.21,IN,1
22.34,IN,1
22.46,IN,1
22.61,IN,1
22.72,IN,1
22.86,IN,1
22.98,IN,1
23.13,IN,1
23.24,IN,1
23.39,IN,1
23.51,IN,1
23.63,IN,1
23.76,IN,1
23.89,IN,1
24.02,IN,1
24.17,IN,1
24.28,IN,1
24.41,IN,1
24.54,IN,1
24.67,IN,1
24.79,IN,1
24.92,IN,1
25.06,IN,1
25.19,IN,1
25.33,IN,1
25.44,IN,1
25.59,IN,1
25.71,IN,1
25.85,IN,1
25.98,IN,1
26.09,IN,1
26.21,IN,1
26.35,IN,1
26.48,IN,1
26.60,IN,1
26.73,IN,1
26.88,IN,1
26.99,IN,1
27.12,IN,1
27.25,IN,1
27.40,IN,1
27.54,IN,1
27.64,IN,1
27.77,IN,1
27.90,IN,1
28.02,IN,1
28.15,IN,1
28.31,IN,1
28.43,IN,1
28.55,IN,1
28.67,IN,1
28.83,IN,1
28.94,IN,1
29.07,IN,1
29.21,IN,1
29.34,IN,1
29.46,IN,1
29.60,IN,1
29.70,IN,1
29.86,IN,1
29.98,IN,1
